Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  java.util.zip.ZipFile$Source.initCEN(int) ZipFile.java                                                                                                                    |       94    0%  |              47  |             10  |           2  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.toCompositeData(GarbageCollectionNotificationInfo) GarbageCollectionNotifInfoCompositeData.java       |       79    0%  |               9  |          < 0.1  |           8  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getCompositeData() GarbageCollectionNotifInfoCompositeData.java                                       |       79    0%  |               9  |          < 0.1  |           8  |
|  com.sun.management.internal.GcInfoCompositeData.toCompositeData(GcInfo) GcInfoCompositeData.java                                                                          |       74    0%  |               9  |            0.5  |           8  |
|  com.sun.management.internal.GcInfoCompositeData.getCompositeData() GcInfoCompositeData.java                                                                               |       72    0%  |               9  |            0.1  |           8  |
|  sun.management.MappedMXBeanType$MapMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                                |       67    0%  |               4  |              1  |          16  |
|  java.util.zip.ZipFile$Source.checkAndAddEntry(int, int) ZipFile.java                                                                                                      |       63    0%  |           < 0.1  |             27  |       4,648  |
|  javax.management.openmbean.CompositeDataSupport.<init>(CompositeType, String[], Object[]) CompositeDataSupport.java                                                       |       50    0%  |             0.1  |            0.6  |         272  |
|  javax.management.openmbean.CompositeDataSupport.<init>(SortedMap, CompositeType) CompositeDataSupport.java                                                                |       39    0%  |             0.1  |              6  |         272  |
|  javax.management.openmbean.CompositeType.isAssignableFrom(OpenType) CompositeType.java                                                                                    |       27    0%  |           < 0.1  |              6  |         456  |
|  javax.management.openmbean.CompositeType.isValue(Object) CompositeType.java                                                                                               |       26    0%  |             0.1  |            0.4  |         264  |
|  deltablue.UnaryConstraint.removeFromGraph()                                                                                                                               |       25    0%  |             0.2  |            0.2  |         100  |
|  deltablue.Variable.removeConstraint(AbstractConstraint)                                                                                                                   |       24    0%  |             0.2  |            0.2  |         100  |
|  som.Vector.remove(Object)                                                                                                                                                 |       24    0%  |             0.2  |              2  |         100  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType.toOpenTypeData(Object) MappedMXBeanType.java                                                                      |       23    0%  |             0.1  |            0.5  |         128  |
|  sun.management.MemoryUsageCompositeData.toCompositeData(MemoryUsage) MemoryUsageCompositeData.java                                                                        |       22    0%  |             0.1  |            0.3  |         128  |
|  sun.management.MemoryUsageCompositeData.getCompositeData() MemoryUsageCompositeData.java                                                                                  |       21    0%  |             0.1  |            0.8  |         128  |
|  javax.management.openmbean.TabularDataSupport.put(CompositeData) TabularDataSupport.java                                                                                  |       19    0%  |             0.1  |            0.1  |         128  |
|  javax.management.openmbean.TabularDataSupport.internalPut(CompositeData) TabularDataSupport.java                                                                          |       19    0%  |             0.1  |            0.3  |         128  |
|  javax.management.openmbean.TabularDataSupport.checkValueAndIndex(CompositeData) TabularDataSupport.java                                                                   |       18    0%  |             0.1  |            0.4  |         128  |
|  sun.management.NotificationEmitterSupport.sendNotification(Notification) NotificationEmitterSupport.java                                                                  |       18    0%  |               2  |            0.4  |           8  |
|  com.yourkit.al.av.invoke(Object, Object[]) a                                                                                                                              |       17    0%  |             0.3  |            0.2  |          48  |
|  com.sun.management.GarbageCollectionNotificationInfo.from(CompositeData) GarbageCollectionNotificationInfo.java                                                           |       17    0%  |               2  |          < 0.1  |           8  |
|  com.sun.management.GarbageCollectionNotificationInfo.<init>(CompositeData) GarbageCollectionNotificationInfo.java                                                         |       17    0%  |               2  |          < 0.1  |           8  |
|  java.lang.invoke.StringConcatFactory.makeConcatWithConstants(MethodHandles$Lookup, String, MethodType, String, Object[]) StringConcatFactory.java                         |       15    0%  |               2  |            0.1  |           7  |
|  java.lang.invoke.StringConcatFactory.generateMHInlineCopy(MethodType, String[]) StringConcatFactory.java                                                                  |       15    0%  |               2  |              2  |           7  |
|  javax.management.openmbean.TabularDataSupport.checkValueType(CompositeData) TabularDataSupport.java                                                                       |       14    0%  |             0.1  |            0.2  |         128  |
|  java.util.zip.ZipFile$Source.nextEntryPos(int, int, int) ZipFile.java                                                                                                     |       14    0%  |           < 0.1  |              9  |       4,648  |
|  javax.management.openmbean.CompositeType.getType(String) CompositeType.java                                                                                               |       14    0%  |           < 0.1  |              5  |       4,168  |
|  java.util.TreeMap.get(Object) TreeMap.java                                                                                                                                |       12    0%  |           < 0.1  |              8  |       5,992  |
|  java.util.TreeMap$KeyIterator.next() TreeMap.java                                                                                                                         |       11    0%  |           < 0.1  |              4  |       3,368  |
|  com.sun.management.internal.GarbageCollectionNotifInfoCompositeData.getGcInfo(CompositeData) GarbageCollectionNotifInfoCompositeData.java                                 |       11    0%  |               1  |          < 0.1  |           8  |
