Method list (CPU)

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------------+-----------------+--------------+
|                                                                                   Method                                                                                   |    Time (ms)    |  Avg. Time (ms)  |  Own Time (ms)  |    Count     |
|  jdk.internal.reflect.MethodHandleObjectFieldAccessorImpl.<init>(Field, MethodHandle, MethodHandle, boolean, boolean) MethodHandleObjectFieldAccessorImpl.java             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.nio.fs.UnixPath.<clinit>() UnixPath.java                                                                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.factory.CoreReflectionFactory.make(GenericDeclaration, Scope) CoreReflectionFactory.java                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  sun.reflect.generics.parser.SignatureParser.make() SignatureParser.java                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  sun.reflect.generics.parser.SignatureParser.parseIdentifier() SignatureParser.java                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.tree.Wildcard.make(FieldTypeSignature[], FieldTypeSignature[]) Wildcard.java                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.reflect.generics.visitor.Reifier.visitFormalTypeParameter(FormalTypeParameter) Reifier.java                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  com.yourkit.al.bi.<init>(Object) a                                                                                                                                        |    < 0.1    0%  |               0  |          < 0.1  |           8  |
|  DeltaBlue.<init>()                                                                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.invoke.StringConcatFactory.filterPrependArgPositions(int[], int, int) StringConcatFactory.java                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           6  |
|  java.nio.file.spi.FileSystemProvider.<init>() FileSystemProvider.java                                                                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.concurrent.ConcurrentHashMap$ForwardingNode.<init>(ConcurrentHashMap$Node[]) ConcurrentHashMap.java                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           4  |
|  java.util.IdentityHashMap$IdentityHashMapIterator.hasNext() IdentityHashMap.java                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           6  |
|  java.util.logging.Logger.updateEffectiveLevel() Logger.java                                                                                                               |    < 0.1    0%  |               0  |          < 0.1  |           8  |
|  java.util.logging.LogManager.checkPermission() LogManager.java                                                                                                            |    < 0.1    0%  |               0  |          < 0.1  |           9  |
|  java.util.stream.Nodes$FixedNodeBuilder.accept(Object) Nodes.java                                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |           8  |
|  java.util.zip.Inflater$InflaterZStreamRef.<init>(Inflater, long) Inflater.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipCoder$UTF8ZipCoder.<init>(Charset) ZipCoder.java                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  javax.management.openmbean.OpenType.valid(String, String) OpenType.java                                                                                                   |    < 0.1    0%  |               0  |          < 0.1  |          24  |
|  jdk.internal.loader.NativeLibraries$3.apply(Object, Object) NativeLibraries.java                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.misc.TerminatingThreadLocal.<init>() TerminatingThreadLocal.java                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  som.Dictionary.<init>(int)                                                                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.launcher.LauncherHelper.setMainType(Method) LauncherHelper.java                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType$2.run() MappedMXBeanType.java                                                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.management.MappedMXBeanType$MapMXBeanType.<clinit>() MappedMXBeanType.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.NativeBuffer$Deallocator.run() NativeBuffer.java                                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.UnixFileSystem.<clinit>() UnixFileSystem.java                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.Util.newSet(Object[]) Util.java                                                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.markToCurrent() SignatureParser.java                                                                                          |    < 0.1    0%  |               0  |          < 0.1  |          14  |
|  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl.<clinit>() WildcardTypeImpl.java                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl.make(FieldTypeSignature[], FieldTypeSignature[], GenericsFactory) WildcardTypeImpl.java                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.visitor.Reifier.make(GenericsFactory) Reifier.java                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  com.sun.management.internal.GcInfoBuilder.getItemNames() GcInfoBuilder.java                                                                                               |    < 0.1    0%  |               0  |          < 0.1  |           8  |
|  com.sun.management.internal.GcInfoCompositeData.getBaseGcInfoItemTypes() GcInfoCompositeData.java                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  com.yourkit.al.at.validateParameters(Object) a                                                                                                                            |    < 0.1    0%  |               0  |          < 0.1  |           9  |
|  java.lang.ThreadLocal.setCarrierThreadLocal(Object) ThreadLocal.java                                                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.nio.DirectLongBufferU.put(int, long) DirectLongBufferU.java                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           4  |
|  java.util.jar.Attributes.put(Object, Object) Attributes.java                                                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.util.jar.Attributes$Name.addName(Map, Attributes$Name) Attributes.java                                                                                               |    < 0.1    0%  |               0  |          < 0.1  |          26  |
|  java.util.logging.Logger$ConfigurationData.setLevelObject(Level) Logger.java                                                                                              |    < 0.1    0%  |               0  |          < 0.1  |           8  |
|  java.util.logging.LogManager.contexts() LogManager.java                                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  jdk.internal.loader.NativeLibraries$NativeLibraryContext.push(NativeLibraries$NativeLibraryImpl) NativeLibraries.java                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  jdk.internal.loader.URLClassPath$3.<init>(URLClassPath, URL) URLClassPath.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  sun.reflect.generics.factory.CoreReflectionFactory.makeTypeVariable(String, FieldTypeSignature[]) CoreReflectionFactory.java                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.scope.MethodScope.<init>(Method) MethodScope.java                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.lang.invoke.BoundMethodHandle$Species_LLLL.copyWith(MethodType, LambdaForm) java/lang/invoke/BoundMethodHandle$Species_LLLL                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.Package$VersionInfo.<init>(String, String, String, String, String, String, URL) Package.java                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.Runtime$Version.<init>(List, Optional, Optional, Optional) Runtime.java                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.lang.Runtime$Version.isSimpleNumber(String) Runtime.java                                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.lang.ThreadLocal.isPresent(Thread) ThreadLocal.java                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.ThreadLocal.nextHashCode() ThreadLocal.java                                                                                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.lang.ThreadLocal$ThreadLocalMap$Entry.<init>(ThreadLocal, Object) ThreadLocal.java                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.security.BasicPermission.init(String) BasicPermission.java                                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.security.Permissions.<init>() Permissions.java                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.Arrays$ArrayList.contains(Object) Arrays.java                                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.IdentityHashMap.<clinit>() IdentityHashMap.java                                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.IdentityHashMap$KeySet.<init>(IdentityHashMap) IdentityHashMap.java                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.jar.Manifest$FastInputStream.<init>(InputStream, int) Manifest.java                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.stream.MatchOps$MatchKind.$values() MatchOps.java                                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipFile$Source$Key.<init>(File, BasicFileAttributes, ZipCoder) ZipFile.java                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.zip.ZipUtils.ENDSIZ(byte[]) ZipUtils.java                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.zip.ZipUtils.GETSIG(byte[]) ZipUtils.java                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.loader.FileURLMapper.<init>(URL) FileURLMapper.java                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader.isOptimizable(URL) URLClassPath.java                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$JarLoader$1.<init>(URLClassPath$JarLoader) URLClassPath.java                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.loader.URLClassPath$Loader.<init>(URL) URLClassPath.java                                                                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  sun.nio.fs.NativeBuffer.<clinit>() NativeBuffer.java                                                                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.parser.SignatureParser.parseZeroOrMoreThrowsSignatures() SignatureParser.java                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.reflect.generics.reflectiveObjects.TypeVariableImpl.make(GenericDeclaration, String, FieldTypeSignature[], GenericsFactory) TypeVariableImpl.java                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl.<init>(FieldTypeSignature[], FieldTypeSignature[], GenericsFactory) WildcardTypeImpl.java                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.tree.ClassTypeSignature.<init>(List) ClassTypeSignature.java                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |          13  |
|  sun.reflect.generics.tree.MethodTypeSignature.make(FormalTypeParameter[], TypeSignature[], ReturnType, FieldTypeSignature[]) MethodTypeSignature.java                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.reflect.generics.tree.SimpleClassTypeSignature.<init>(String, boolean, TypeArgument[]) SimpleClassTypeSignature.java                                                  |    < 0.1    0%  |               0  |          < 0.1  |          15  |
|  deltablue.Direction.<init>(String, int)                                                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.io.ByteArrayOutputStream.<init>() ByteArrayOutputStream.java                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.io.FileCleanable.<init>(FileDescriptor, Cleaner, int, long) FileCleanable.java                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.io.RandomAccessFile.length0() RandomAccessFile.java (native)                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.lang.ThreadLocal.set(Thread, Object) ThreadLocal.java                                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.nio.file.attribute.FileTime.toMillis() FileTime.java                                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.util.IdentityHashMap.hash(Object, int) IdentityHashMap.java                                                                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.jar.JarFile.match(byte[], byte[], byte[], byte[]) JarFile.java                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.util.logging.LogManager.ensureLogManagerInitialized() LogManager.java                                                                                                |    < 0.1    0%  |               0  |          < 0.1  |           6  |
|  java.util.stream.MatchOps$MatchKind.<init>(String, int, boolean, boolean) MatchOps.java                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           3  |
|  java.util.zip.ZipCoder$UTF8ZipCoder.toString(byte[], int, int) ZipCoder.java                                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipUtils.ENDOFF(byte[]) ZipUtils.java                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  javax.management.openmbean.CompositeType.containsKey(String) CompositeType.java                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  jdk.internal.loader.NativeLibraries$3.apply(String, NativeLibraries$CountedLock) NativeLibraries.java                                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.loader.NativeLibraries$NativeLibraryContext$1.apply(Object) NativeLibraries.java                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  jdk.internal.loader.NativeLibraries$NativeLibraryImpl.<init>(Class, String, boolean) NativeLibraries.java                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  jdk.internal.misc.CarrierThreadLocal.<clinit>() CarrierThreadLocal.java                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  jdk.internal.reflect.MethodHandleFieldAccessorImpl.<init>(Field, MethodHandle, MethodHandle, boolean, boolean) MethodHandleFieldAccessorImpl.java                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.launcher.LauncherHelper.doesExtendFXApplication(Class) LauncherHelper.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType$1.<init>(MappedMXBeanType$CompositeDataMXBeanType) MappedMXBeanType.java                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.management.MappedMXBeanType$CompositeDataMXBeanType$2.<init>(MappedMXBeanType$CompositeDataMXBeanType) MappedMXBeanType.java                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.NativeBuffer$Deallocator.<init>(long) NativeBuffer.java                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.UnixPath.getByteArrayForSysCalls() UnixPath.java                                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.reflect.generics.factory.CoreReflectionFactory.getDeclsLoader() CoreReflectionFactory.java                                                                            |    < 0.1    0%  |               0  |          < 0.1  |           4  |
|  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl.hashCode() ParameterizedTypeImpl.java                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.reflect.generics.scope.ClassScope.make(Class) ClassScope.java                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.tree.BottomSignature.<init>() BottomSignature.java                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.tree.Wildcard.<clinit>() Wildcard.java                                                                                                               |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  Benchmark.<init>()                                                                                                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.io.RandomAccessFile$2.<init>() RandomAccessFile.java                                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.invoke.DirectMethodHandle$Special.<init>(MethodType, LambdaForm, MemberName, boolean, Class) DirectMethodHandle.java                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.StringUTF16.compress(char[], int, byte[], int, int) StringUTF16.java                                                                                            |    < 0.1    0%  |               0  |          < 0.1  |           5  |
|  java.lang.Thread.isAlive() Thread.java                                                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  java.lang.ThreadLocal$ThreadLocalMap.cleanSomeSlots(int, int) ThreadLocal.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.nio.file.FileSystem.<init>() FileSystem.java                                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.Arrays$ArrayList.indexOf(Object) Arrays.java                                                                                                                    |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.IdentityHashMap.capacity(int) IdentityHashMap.java                                                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.jar.JavaUtilJarAccessImpl.<init>() JavaUtilJarAccessImpl.java                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.jar.Manifest$FastInputStream.peek() Manifest.java                                                                                                               |    < 0.1    0%  |               0  |          < 0.1  |           3  |
|  java.util.zip.ZipCoder.<init>(Charset) ZipCoder.java                                                                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipFile$1.<init>() ZipFile.java                                                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipUtils.ENDTOT(byte[]) ZipUtils.java                                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.loader.NativeLibraries$1.<init>(NativeLibraries, File) NativeLibraries.java                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  jdk.internal.loader.NativeLibraries$CountedLock.<init>() NativeLibraries.java                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.management.ManagementFactoryHelper.lambda$getAllMemoryPoolNames$0(int) ManagementFactoryHelper.java                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.DefaultFileSystemProvider.theFileSystem() DefaultFileSystemProvider.java                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes.<init>(UnixFileAttributes) UnixFileAttributes.java                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.nio.fs.UnixPath.<init>(UnixFileSystem, byte[]) UnixPath.java                                                                                                          |    < 0.1    0%  |               0  |          < 0.1  |           3  |
|  sun.reflect.generics.reflectiveObjects.TypeVariableImpl.<init>(GenericDeclaration, String, FieldTypeSignature[], GenericsFactory) TypeVariableImpl.java                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.scope.ClassScope.<init>(Class) ClassScope.java                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.tree.ClassSignature.make(FormalTypeParameter[], ClassTypeSignature, ClassTypeSignature[]) ClassSignature.java                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.tree.FormalTypeParameter.make(String, FieldTypeSignature[]) FormalTypeParameter.java                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.tree.Wildcard.<init>(FieldTypeSignature[], FieldTypeSignature[]) Wildcard.java                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           2  |
|  sun.reflect.generics.tree.Wildcard.getLowerBounds() Wildcard.java                                                                                                         |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.security.util.LazyCodeSourcePermissionCollection.<init>(PermissionCollection, CodeSource) LazyCodeSourcePermissionCollection.java                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.io.ByteArrayOutputStream.<init>(int) ByteArrayOutputStream.java                                                                                                      |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.lang.Package$VersionInfo.getInstance(String, String, String, String, String, String, URL) Package.java                                                               |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  java.lang.ThreadLocal$ThreadLocalMap.setThreshold(int) ThreadLocal.java                                                                                                   |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.nio.file.attribute.FileTime.<init>(long, TimeUnit, Instant) FileTime.java                                                                                            |    < 0.1    0%  |               0  |          < 0.1  |           3  |
|  java.nio.file.spi.FileSystemProvider.checkPermission() FileSystemProvider.java                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.security.BasicPermission.getCanonicalName() BasicPermission.java                                                                                                     |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.security.PermissionCollection.<init>() PermissionCollection.java                                                                                                     |    < 0.1    0%  |               0  |          < 0.1  |           3  |
|  java.util.ArrayDeque$DeqIterator.<init>(ArrayDeque) ArrayDeque.java                                                                                                       |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.concurrent.ConcurrentHashMap$ValuesView.<init>(ConcurrentHashMap) ConcurrentHashMap.java                                                                        |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.IdentityHashMap.init(int) IdentityHashMap.java                                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.IdentityHashMap$IdentityHashMapIterator.nextIndex() IdentityHashMap.java                                                                                        |    < 0.1    0%  |               0  |          < 0.1  |           3  |
|  java.util.logging.LogManager.getUserContext() LogManager.java                                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.logging.LogManager.initializeGlobalHandlers() LogManager.java                                                                                                   |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  java.util.logging.LogManager$LoggerContext.getRootLogger() LogManager.java                                                                                                |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  java.util.Spliterators$ArraySpliterator.<init>(Object[], int, int, int) Spliterators.java                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.stream.Nodes.flatten(Node, IntFunction) Nodes.java                                                                                                              |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.stream.Nodes$FixedNodeBuilder.begin(long) Nodes.java                                                                                                            |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipCoder.get(Charset) ZipCoder.java                                                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  java.util.zip.ZipFile$Source.checkExtraFields(int, int, int) ZipFile.java                                                                                                 |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  java.util.zip.ZipUtils.ENDCOM(byte[]) ZipUtils.java                                                                                                                       |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  javax.management.openmbean.OpenType.checkClassNameOverride() OpenType.java                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  jdk.internal.loader.NativeLibraries$NativeLibraryContext$1.apply(Thread) NativeLibraries.java                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  jdk.internal.loader.URLClassPath$JarLoader.checkJar(JarFile) URLClassPath.java                                                                                            |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  sun.management.MappedMXBeanType$BasicMXBeanType.getName() MappedMXBeanType.java                                                                                           |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.management.MemoryImpl.getMemoryPools() MemoryImpl.java                                                                                                                |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.AbstractBasicFileAttributeView.<init>() AbstractBasicFileAttributeView.java                                                                                    |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  sun.nio.fs.UnixFileAttributes.<init>() UnixFileAttributes.java                                                                                                            |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  sun.nio.fs.UnixFileSystemProvider.<clinit>() UnixFileSystemProvider.java                                                                                                  |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.UnixPath.checkRead() UnixPath.java                                                                                                                             |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  sun.nio.fs.UnixPath.getFileSystem() UnixPath.java                                                                                                                         |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  sun.nio.fs.UnixPath.normalize(String, int, int) UnixPath.java                                                                                                             |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.nio.fs.UnixPath.toUnixPath(Path) UnixPath.java                                                                                                                        |    < 0.1    0%  |               0  |          < 0.1  |           2  |
|  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl.getActualTypeArguments() ParameterizedTypeImpl.java                                                          |    < 0.1    0%  |           < 0.1  |          < 0.1  |           1  |
|  sun.reflect.generics.scope.AbstractScope.<init>(GenericDeclaration) AbstractScope.java                                                                                    |    < 0.1    0%  |               0  |          < 0.1  |           3  |
|  java.lang.invoke.MethodHandle$1.<init>(MethodHandle) MethodHandle.java                                                                                                    |        0    0%  |               0  |              0  |           1  |
|  java.lang.invoke.StringConcatFactory.prependBase() StringConcatFactory.java                                                                                               |        0    0%  |               0  |              0  |           4  |
|  java.lang.invoke.StringConcatFactory.simpleConcat() StringConcatFactory.java                                                                                              |        0    0%  |               0  |              0  |           1  |
|  java.lang.Thread.clearReferences() Thread.java                                                                                                                            |        0    0%  |               0  |              0  |           2  |
|  java.lang.ThreadLocal$ThreadLocalMap.getEntryAfterMiss(ThreadLocal, int, ThreadLocal$ThreadLocalMap$Entry) ThreadLocal.java                                               |        0    0%  |               0  |              0  |           1  |
|  java.nio.file.spi.FileSystemProvider.<init>(Void) FileSystemProvider.java                                                                                                 |        0    0%  |               0  |              0  |           1  |
|  java.security.Permission.<init>(String) Permission.java                                                                                                                   |        0    0%  |               0  |              0  |           1  |
|  java.util.stream.Nodes$ArrayNode.asArray(IntFunction) Nodes.java                                                                                                          |        0    0%  |               0  |              0  |           1  |
|  java.util.stream.Nodes$FixedNodeBuilder.build() Nodes.java                                                                                                                |        0    0%  |               0  |              0  |           1  |
|  java.util.stream.Nodes$FixedNodeBuilder.end() Nodes.java                                                                                                                  |        0    0%  |               0  |              0  |           1  |
|  java.util.zip.ZipFile$Source$End.<init>() ZipFile.java                                                                                                                    |        0    0%  |               0  |              0  |           2  |
|  javax.management.openmbean.CompositeType.checkForNullElement(Object[], String) CompositeType.java                                                                         |        0    0%  |               0  |              0  |          18  |
|  javax.management.openmbean.TabularType.checkForEmptyString(String[], String) TabularType.java                                                                             |        0    0%  |               0  |              0  |           1  |
|  javax.management.openmbean.TabularType.checkForNullElement(Object[], String) TabularType.java                                                                             |        0    0%  |               0  |              0  |           1  |
|  jdk.internal.loader.NativeLibraries$2.<init>() NativeLibraries.java                                                                                                       |        0    0%  |               0  |              0  |           2  |
|  jdk.internal.loader.NativeLibraries$3.<init>() NativeLibraries.java                                                                                                       |        0    0%  |               0  |              0  |           2  |
